"1|The Cozy Cottage|Berlin|Germany|House|7|2"
"2|The Seaside Shack|Sydney|Australia|Shack|3|9"
"3|The Urban Apartment|New York|United States|Apartment|2|8"
"4|The Rustic Retreat|Cape Town|South Africa|House|6|4"
"5|The Mountain Chalet|Aspen|United States|House|8|5"
"6|The Beach House|Bali|Indonesia|House|9|7"
"7|The Country Cottage|Bath|United Kingdom|House|3|3"
"8|The City Studio|Paris|France|Apartment|7|2"
"9|The Tropical Villa|Rio de Janeiro|Brazil|House|10|1"
"10|The Lakeside Cabin|Queenstown|New Zealand|Shack|4|6"
"11|The Ski Lodge|Whistler|Canada|House|5|9"
"12|The Island Bungalow|Koh Samui|Thailand|Shack|1|8"
"13|The Modern Loft|Tokyo|Japan|Apartment|3|5"
"14|The Coastal Retreat|Santa Barbara|United States|House|2|7"
"15|The Hilltop Hideaway|Oia|Greece|House|4|1"
"16|The Rainforest Retreat|Cairns|Australia|Shack|9|4"
"17|The Historic House|Boston|United States|House|6|6"
"18|The City Oasis|Dubai|United Arab Emirates|Apartment|8|3"
"19|The Quaint Cottage|Cotswolds|United Kingdom|House|5|2"
"20|The Beachside Bungalow|Maui|United States|Shack|1|7"
"21|The Mountain Retreat|Chamonix|France|House|7|9"
"22|The Secluded Sanctuary|Patagonia|Argentina|House|10|5"
"23|The Cosmopolitan Apartment|Hong Kong|China|Apartment|2|3"
"24|The Desert Dwelling|Scottsdale|United States|House|4|10"
"25|The Forest Hideout|Vancouver Island|Canada|Shack|6|1"
"26|The Riverside Residence|Florence|Italy|Apartment|9|8"
"27|The Snowy Chalet|Zermatt|Switzerland|House|1|3"
"28|The Oceanfront Oasis|Gold Coast|Australia|House|3|7"
"29|The Rustic Cabin|Yellowstone National Park|United States|Shack|8|4"
"30|The City Penthouse|London|United Kingdom|Apartment|7|6"
